company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
New York Dental Office,New York,NY,New York City,Dental Practice,8,$1M-$2M,Corey Brick DDS,Owner/Dentist,(212) 548-3261,N/A,https://www.newyorkdentaloffice.com/
DDS Group NYC,New York,NY,New York City,Dental Practice,10,$1.5M-$3M,Owner,Owner/Dentist,(212) 269-6655,N/A,https://www.ddsgroupnyc.com/
M.Y. Dental Spa,New York,NY,New York City,Dental Practice,8,$1M-$2M,Owner,Owner/Dentist,(212) 935-3212,N/A,https://www.mydentalspa.net/
Downtown Dental Studio,New York,NY,New York City,Dental Practice,10,$1.5M-$3M,Alexander Kimon DMD,Owner/Dentist,(680) 205-5994,N/A,https://www.downtowndentalstudio.com/
Westside Veterinary Center,New York,NY,New York City,Veterinary Clinic,12,$2M-$4M,Owner,Owner/Veterinarian,N/A,N/A,https://westsidevetcenter.com/
Lenox Hill Veterinarians,New York,NY,New York City,Veterinary Clinic,10,$2M-$3M,Dr. Putter,Owner/Veterinarian,N/A,N/A,https://www.lenoxhillveterinarians.com/
York Veterinary Center,New York,NY,New York City,Veterinary Clinic,8,$1.5M-$2.5M,Spencer J. Herman DVM,Owner/Veterinarian,N/A,N/A,https://www.yorkveterinarycenter.com/
Northside Veterinary Clinic,Brooklyn,NY,New York City,Veterinary Clinic,10,$1.5M-$3M,Daniel Leiman DVM,Owner/Veterinarian,N/A,N/A,https://www.northsideveterinaryclinic.com/
Royal Orthodontics,New York,NY,New York City,Orthodontics,8,$1.5M-$3M,Owner,Owner/Orthodontist,N/A,N/A,https://www.royalorthodontics.com
Gramercy Orthodontics,New York,NY,New York City,Orthodontics,8,$1.5M-$3M,Dr. Berk,Owner/Orthodontist,N/A,N/A,https://gramercyorthonyc.com/
Elite Orthodontics,New York,NY,New York City,Orthodontics,8,$1.5M-$3M,Erika Faust,Owner/Orthodontist,N/A,N/A,https://www.eliteorthonyc.com/
Wall Street Orthodontics,New York,NY,New York City,Orthodontics,7,$1M-$2.5M,Lucas W. Shapiro,Owner/Orthodontist,N/A,N/A,https://www.wallstreetortho.com/
Avenue South Orthodontics,Nashville,TN,Nashville,Orthodontics,8,$1M-$2.5M,Brandon Foltz,Owner/Orthodontist,N/A,N/A,https://avenuesouthorthodontics.com/
Nash Orthodontics,Nashville,TN,Nashville,Orthodontics,10,$1.5M-$3M,Dr. Smith,Owner/Orthodontist,N/A,N/A,https://www.mynashortho.com/
Hall Orthodontics,Nashville,TN,Nashville,Orthodontics,7,$1M-$2M,Dr. Hall,Owner/Orthodontist,N/A,N/A,https://mhallortho.com/
Sims Orthodontics,Nashville,TN,Nashville,Orthodontics,10,$1.5M-$3M,Robert Sims,Owner/Orthodontist,N/A,N/A,https://www.simsortho.com/
Collins Orthodontics,Nashville,TN,Nashville,Orthodontics,8,$1M-$2.5M,Sam Collins,Owner/Orthodontist,N/A,N/A,https://collinsorthotn.com/
Genuine Orthodontics,Brentwood,TN,Nashville,Orthodontics,8,$1M-$2.5M,Alex Blaseio,Owner/Orthodontist,N/A,N/A,https://www.genuineorthodontics.com/
Warner Parks Family Dental,Nashville,TN,Nashville,Dental Practice,10,$1.5M-$3M,Bob Wilson DMD,Owner/Dentist,N/A,N/A,https://www.warnerparksfamilydental.com/
Clayton Dental Group,Nashville,TN,Nashville,Dental Practice,8,$1M-$2M,Owner,Owner/Dentist,N/A,N/A,https://www.cdgnashville.com/
Nations Dental Studio,Nashville,TN,Nashville,Dental Practice,7,$800K-$1.5M,Owner,Owner/Dentist,N/A,N/A,https://nationsdentalstudio.com/
Miller Family Dentistry,Nashville,TN,Nashville,Dental Practice,8,$1M-$2M,Owner,Owner/Dentist,N/A,N/A,https://www.millerfamilydentistrytn.com/
Nashville Med Spa,Nashville,TN,Nashville,Med Spa,8,$1M-$2.5M,Owner,Owner,(615) 431-3724,info@nashmedspa.com,https://www.nashmedspa.com/
Skin MB,Nashville,TN,Nashville,Med Spa,7,$800K-$2M,Owner,Owner/Medical Director,N/A,N/A,https://skinmb.com/
Belle Meade Medical SPA,Nashville,TN,Nashville,Med Spa,8,$1M-$2.5M,Owner,Owner/Medical Director,N/A,N/A,https://www.bellemeademedicalspa.com/
Donelson Chiropractic Clinic,Nashville,TN,Nashville,Chiropractic Clinic,6,$600K-$1.2M,Rewan Amedi DC,Owner/Chiropractor,N/A,N/A,https://www.donelsonchiropractic.com
Green Hills Chiropractic Clinic,Nashville,TN,Nashville,Chiropractic Clinic,7,$700K-$1.5M,Cameron Beilke DC,Owner/Chiropractor,N/A,N/A,https://www.greenhillschiropractic.com/
Roth Wellness and Chiropractic,Nashville,TN,Nashville,Chiropractic Clinic,6,$600K-$1.2M,Dr. Roth,Owner/Chiropractor,N/A,N/A,https://www.rothwellness.com/
Sweeney Chiropractic,Nashville,TN,Nashville,Chiropractic Clinic,6,$600K-$1.2M,Dr. Sweeney,Owner/Chiropractor,N/A,N/A,https://www.sweeneychiropractic.com/
Axis Chiropractic,Nashville,TN,Nashville,Chiropractic Clinic,7,$700K-$1.5M,Steve Kim DC,Owner/Chiropractor,N/A,N/A,https://axischirotn.com/
