company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Howard Howard and Hodges,Orlando,FL,Orlando,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner,(407) 333-8110,info@howardcpas.com,https://howardcpas.com/
Kreischer Miller,Philadelphia,PA,Philadelphia,CPA Firm,15,$1M-$2M,Managing Partner,Managing Partner,(215) 441-4600,,https://www.kmco.com/
McGovern & Associates PC,Philadelphia,PA,Philadelphia,CPA Firm,8,$500K-$2M,Managing Partner,Managing Partner,(215) 483-5555,info@cpaphilly.com,https://www.cpaphilly.com/
Duffy Kruspodin LLP,Orange County,CA,Orange County,CPA Firm,12,$800K-$2M,Managing Partner,Managing Partner,(818) 385-0585,,https://dk.cpa/
Paul Anderson CPA,San Diego,CA,San Diego,CPA Firm,5,$500K-$1M,Paul Anderson,Owner,(858) 433-7287,,https://www.sdbookkeepingsolutions.com/
Levin & Associates,Chicago,IL,Chicago,Family Law Firm,10,$1M-$3M,Managing Partner,Managing Partner,(312) 546-5100,,https://levinfamilylaw.com/
Shemesh Family Law,Dallas,TX,Dallas,Family Law Firm,6,$800K-$2M,Amber Shemesh,Founding Attorney,(214) 432-2501,Amber@ShemeshFamilyLaw.com,https://www.shemeshfamilylaw.com/
The Solomon Firm,Atlanta,GA,Atlanta,Family Law Firm,7,$800K-$2M,Managing Partner,Managing Partner,(404) 565-0641,tricia@thesolomonfirm.com,https://www.thesolomonfirm.com/
Eittreim Martin Cutler LLC,Atlanta,GA,Atlanta,Family Law Firm,8,$800K-$2M,Managing Partner,Managing Partner,(770) 574-6473,,https://www.emcfamilylaw.com/
PMI New York City,New York,NY,New York City,Property Management Company,10,$1M-$3M,Principal,Managing Partner,(212) 739-0780,faiz@pminewyorkcity.com,https://www.newyorkcitypropertymanagementinc.com/
My Property Man,New York,NY,New York City,Property Management Company,8,$500K-$2M,Owner,Owner,,,,
MD Squared Property Group,New York,NY,New York City,Property Management Company,12,$1M-$3M,Dawn Dickstein,Co-Founder,(646) 328-7300,michael@md2pg.com,https://www.mdsquaredpropertygroup.com/
Building Equity Management,New York,NY,New York City,Property Management Company,10,$1M-$3M,Brian Reilly,Co-Owner,(212) 489-5060,,https://www.bemny.com/
XL Real Property Management,New York,NY,New York City,Property Management Company,8,$500K-$2M,Dylan Pichulik,Owner,(212) 203-8684,info@xl-rpm.com,https://www.xl-rpm.com/
EBMG,New York,NY,New York City,Property Management Company,15,$1M-$3M,Principal,Managing Partner,(212) 335-2723,info@ebmg.com,https://ebmg.com/
Florida Property Management Strategies,Miami,FL,Miami,HOA Management Firm,10,$500K-$2M,Principal,Managing Partner,(786) 358-0024,info@myfpms.com,https://www.myfpms.com/
JMK Property Management,Miami,FL,Miami,Property Management Company,8,$500K-$2M,Principal,Owner,(305) 930-1160,info@jmkpropertymanagement.com,https://www.jmkpropertymanagement.com/
Novel Management,Miami,FL,Miami,Property Management Company,6,$500K-$1.5M,Principal,Owner,(305) 400-9479,info@novelmanagement.com,https://novelmanagement.com/
Trident Management,Miami,FL,Miami,Property Management Company,8,$500K-$2M,Jason Schoenholtz,Owner,(305) 535-7599,Jason@TridentMiami.com,https://tridentmiami.com/
Exclusive Property Management Group,Miami,FL,Miami,Property Management Company,10,$500K-$2M,Principal,Managing Partner,(786) 577-2976,info@exclusivepmg.com,https://exclusivepmg.com/
TruHaven Homes,Chicago,IL,Chicago,HOA Management Firm,8,$500K-$1.5M,Rachell Runion,Owner,(847) 302-2644,Rachell@truhavenonline.com,https://www.truhavenhomes.com/
Forth Group,Chicago,IL,Chicago,HOA Management Firm,12,$1M-$3M,Principal,Managing Partner,(312) 379-0400,scott.seger@forthgrp.com,https://forthgrp.com/
KM Realty Group LLC,Chicago,IL,Chicago,HOA Management Firm,10,$500K-$2M,Principal,Owner,(312) 283-0794,info@kmrealtygroup.net,https://kmrealtygroup.net/
AssociationOne,Chicago,IL,Chicago,HOA Management Firm,10,$500K-$2M,Principal,Managing Partner,(833) 737-8663,Support@AssociationOne.com,https://associationone.com/
Hales Property Management,Chicago,IL,Chicago,Property Management Company,15,$1M-$3M,Principal,Managing Partner,(312) 666-0149,info@halesinc.com,https://halespropertymanagement.com/
TCS Management,Nashville,TN,Nashville,Property Management Company,10,$500K-$2M,Principal,Owner,(888) 827-6485,infotn@tcsmgt.com,https://www.tcsmgttn.com/
Southern Sky Realty,Nashville,TN,Nashville,Property Management Company,6,$500K-$1.5M,Jeff Irwin,Owner,(615) 592-5216,,https://southernskyrealtynashville.com/
Omni Realtors and Property Management,Nashville,TN,Nashville,Property Management Company,8,$500K-$2M,Owner,Owner,(615) 826-4436,,https://www.myomnirealty.com/
Aria Properties,Nashville,TN,Nashville,Property Management Company,10,$500K-$2M,Principal,Owner,(615) 964-3200,info@arianashville.com,https://www.arianashville.com/
Browning-Gordon & Company,Nashville,TN,Nashville,Property Management Company,12,$1M-$3M,Principal,Managing Partner,(615) 383-3999,,https://www.browning-gordon.com/
Cole Group Property Management,Dallas,TX,Dallas,Property Management Company,8,$500K-$2M,Principal,Owner,,colegroupdfw@gmail.com,https://www.colegrouppropertymanagement.com/
Agave & Pine Property Management,Dallas,TX,Dallas,Property Management Company,8,$500K-$2M,Anthony Cole,Founder,(713) 367-7448,scott@agaveandpine.co,https://www.agaveandpine.co/
McCaw Property Management,Dallas,TX,Dallas,Property Management Company,10,$500K-$2M,Principal,Owner,(817) 491-2553,office@mccawpm.com,https://mccawpropertymanagement.com/
JoGip Property Management,Dallas,TX,Dallas,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Plat Realty,Dallas,TX,Dallas,Property Management Company,6,$500K-$1.5M,Principal,Owner,,,,
Atlanta Intown Dwellings,Atlanta,GA,Atlanta,Real Estate Brokerage,8,$1M-$3M,Cherie King,Managing Broker,(404) 786-2407,cherieking404@gmail.com,https://www.atlantaintowndwellings.com/
Resurgens Residential,Atlanta,GA,Atlanta,Real Estate Brokerage,10,$1M-$5M,Principal,Managing Partner,,gregs@resurgensresidential.com,https://www.resurgensresidential.com/
Intown Elite,Atlanta,GA,Atlanta,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Williams Realty & Consulting,Atlanta,GA,Atlanta,Real Estate Brokerage,6,$1M-$3M,Principal,Owner,,,,
Beacham & Company Realtors,Atlanta,GA,Atlanta,Real Estate Brokerage,15,$2M-$5M,Principal,Owner,(404) 261-6300,,https://beacham.com/
THE COLLECTIVE Real Estate,Atlanta,GA,Atlanta,Real Estate Brokerage,8,$1M-$3M,Brandon Rory Cunningham,Founder,(404) 848-0996,Listings@TheCollectiveRE.com,https://thecollectivere.com/
Best Atlanta Properties,Atlanta,GA,Atlanta,Real Estate Brokerage,6,$1M-$3M,Principal,Owner,,,,
Integrity First Lending,Houston,TX,Houston,Mortgage Brokerage,10,$500K-$2M,Principal,Owner,,,,https://www.integritylending.com/
CLM Mortgage Inc,Houston,TX,Houston,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,(281) 598-6500,,https://www.clmmortgage.com/
Blink Lending,Houston,TX,Houston,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,(713) 462-5465,hello@blinklending.com,https://blinklending.com/
DMR Mortgage,Houston,TX,Houston,Mortgage Brokerage,6,$500K-$1.5M,Principal,Owner,(281) 492-8861,,https://www.dmrloans.com/
Champions Mortgage,Houston,TX,Houston,Mortgage Brokerage,10,$500K-$2M,Principal,Owner,(281) 727-2500,info@championsmortgageteam.com,https://championsmortgageteam.com/
Personnel Services Unlimited,Charlotte,NC,Charlotte,Staffing Agency,12,$1M-$5M,Principal,Owner,,,,https://www.psuhasjobs.com/
Career Strategy Consultants,Charlotte,NC,Charlotte,Staffing Agency,10,$1M-$5M,Principal,Owner,,,,https://careerstrategyinc.com/
GoodWork Staffing,Charlotte,NC,Charlotte,Staffing Agency,8,$1M-$3M,Principal,Owner,(704) 332-0278,Clarence.Scott@GoodWorkStaffing.com,https://www.goodworkstaffing.com/
All Seasons Wealth,Tampa,FL,Tampa,Wealth Management Firm,10,$1M-$5M,Principal,Managing Partner,,,,
Wealth Advisors of Tampa Bay,Tampa,FL,Tampa,Wealth Management Firm,8,$1M-$3M,Principal,Managing Partner,,,,
Water Street Wealth Management,Tampa,FL,Tampa,Wealth Management Firm,8,$1M-$3M,Principal,Managing Partner,,,,
Garrison Asset Management,Tampa,FL,Tampa,Wealth Management Firm,6,$1M-$3M,Garrison Urette,Founder,(813) 598-1777,gar@gaminc.biz,https://gaminc.com/
Success Wealth Management,Tampa,FL,Tampa,Wealth Management Firm,8,$1M-$3M,Principal,Managing Partner,,,,
Four Corners Wealth Partners,Phoenix,AZ,Phoenix,Financial Advisory Firm,8,$1M-$3M,Principal,Managing Partner,,,,
Continuum Wealth Management,Scottsdale,AZ,Phoenix,Financial Advisory Firm,10,$1M-$5M,Principal,Owner,,,,
Farnam Financial,Phoenix,AZ,Phoenix,Financial Advisory Firm,6,$1M-$3M,Principal,Owner,,,,
LifeManaged Financial Advisors,Phoenix,AZ,Phoenix,Financial Advisory Firm,8,$1M-$3M,Principal,Owner,,,,
ABLE Financial Group,Scottsdale,AZ,Phoenix,Financial Advisory Firm,10,$1M-$5M,Principal,Managing Partner,,,,
Fullerton Financial Planning,Phoenix,AZ,Phoenix,Financial Advisory Firm,6,$1M-$3M,Principal,Owner,,,,
J. Kent Staffing,Denver,CO,Denver,Staffing Agency,15,$1M-$5M,Principal,Owner,(303) 777-7734,,https://www.jkentstaffing.com/
Trimble & Associates Recruiting,Denver,CO,Denver,Recruiting Agency,8,$1M-$3M,Tom Trimble,Owner,,,,
Job Store Staffing,Denver,CO,Denver,Staffing Agency,18,$2M-$5M,Principal,Owner,(303) 757-7686,Denver@jobstorestaffing.com,https://www.jobstorestaffing.com/
Community Management Specialists,Orlando,FL,Orlando,HOA Management Firm,12,$500K-$2M,Principal,Managing Partner,,,,
Beacon Community Management,Orlando,FL,Orlando,HOA Management Firm,10,$500K-$2M,Scott St Clair,Founder,,services@mybeaconmanagement.com,https://beaconcommunitymanagement.com/
Leland Management,Orlando,FL,Orlando,HOA Management Firm,15,$1M-$3M,Principal,Owner,(407) 447-9955,,https://lelandmgt.com/
Premier Association Management,Orlando,FL,Orlando,HOA Management Firm,8,$500K-$1.5M,Principal,Owner,,,,
Maisonre,Los Angeles,CA,Los Angeles,Real Estate Brokerage,10,$1M-$5M,Principal,Managing Broker,,,,
ACME Real Estate,Los Angeles,CA,Los Angeles,Real Estate Brokerage,12,$2M-$5M,Principal,Owner,(323) 596-0006,hello@acme-re.com,https://acme-re.com/
Real Estate Collective,Los Angeles,CA,Los Angeles,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
The L.A. Real Estate Agency,Los Angeles,CA,Los Angeles,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Carolwood Estates,Beverly Hills,CA,Los Angeles,Real Estate Brokerage,10,$2M-$5M,Principal,Managing Partner,(310) 623-3600,info@carolwoodre.com,https://carolwoodre.com/
Brightwire Loans,Northern New Jersey,NJ,Northern New Jersey,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
Heritage Financial Corporation,Jersey City,NJ,Northern New Jersey,Mortgage Brokerage,10,$500K-$2M,Principal,Owner,,,,
Top Vine Mortgage Services,Newark,NJ,Northern New Jersey,Mortgage Brokerage,6,$500K-$1.5M,Principal,Owner,,,,
HQM Loans,Northern New Jersey,NJ,Northern New Jersey,Mortgage Brokerage,6,$500K-$1.5M,Principal,Owner,,,,
Commercial Mortgage Associates,Northern New Jersey,NJ,Northern New Jersey,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
Inspire Financial Planning,San Francisco,CA,San Francisco Bay Area,Wealth Management Firm,12,$2M-$5M,Principal,Managing Partner,,,,https://www.inspirefp.net/
Callan Family Office,San Francisco,CA,San Francisco Bay Area,Family Office,15,$5M-$10M,Principal,Managing Partner,,,,
SD Mayer Family Office Services,San Francisco,CA,San Francisco Bay Area,Family Office,12,$2M-$10M,Principal,Managing Partner,,,,
Premier Property Solutions,Boston,MA,Boston,Property Management Company,10,$500K-$2M,Principal,Owner,,,,
Boston Condominium Management,Boston,MA,Boston,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
J. Butler Property Management,Boston,MA,Boston,Property Management Company,10,$500K-$2M,Principal,Owner,,,,
MerGo Group,Boston,MA,Boston,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Cabot & Company,Boston,MA,Boston,Property Management Company,12,$1M-$3M,Principal,Managing Partner,,,,
Oar Staffing,Washington,DC,Washington DC,Staffing Agency,10,$1M-$5M,Principal,Owner,,,,https://oarstaffing.com/
The Ford Agency,Washington,DC,Washington DC,Staffing Agency,12,$1M-$5M,Principal,Owner,(202) 223-8244,thefordagency@ford-agency.com,https://www.ford-agency.com/
Contemporaries,Washington,DC,Washington DC,Staffing Agency,10,$1M-$3M,Principal,Owner,,,,
Bonnie Jones Associates,Washington,DC,Washington DC,Staffing Agency,8,$1M-$3M,Bonnie Jones,President,(703) 409-7328,,https://www.bonniejones.com/
The Choice Inc,Washington,DC,Washington DC,Staffing Agency,10,$1M-$3M,Principal,Owner,(202) 408-1700,info@thechoiceinc.com,https://thechoiceinc.com/
San Diego Castles Realty,San Diego,CA,San Diego,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,(858) 530-2374,info@sandiegocastles.com,https://www.sandiegocastles.com/
Sand & Sea Investments,San Diego,CA,San Diego,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
SV Premier Real Estate,San Diego,CA,San Diego,Real Estate Brokerage,6,$1M-$3M,Principal,Owner,,,,
Goodkind Properties,San Diego,CA,San Diego,Real Estate Brokerage,6,$1M-$3M,Principal,Owner,,,,
Red Hawk Realty,San Diego,CA,San Diego,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
Start Recruiting Inc,Minneapolis,MN,Minneapolis,Recruiting Agency,8,$1M-$3M,Principal,Owner,,,,
Celarity,Minneapolis,MN,Minneapolis,Recruiting Agency,12,$1M-$5M,Principal,Owner,(952) 941-0022,,https://www.celarity.com/
MDS Staffing,Minneapolis,MN,Minneapolis,Staffing Agency,10,$1M-$3M,Principal,Owner,,,,
Peak Staffing Inc,Minneapolis,MN,Minneapolis,Staffing Agency,8,$1M-$3M,Principal,Owner,,,,
Minnesota Staffing,Minneapolis,MN,Minneapolis,Staffing Agency,10,$1M-$3M,Principal,Owner,,,,
Waverly Advisors Philadelphia,Philadelphia,PA,Philadelphia,Financial Advisory Firm,12,$1M-$5M,Principal,Managing Partner,,,,
Venturi Private Wealth,Philadelphia,PA,Philadelphia,Financial Advisory Firm,8,$1M-$3M,Principal,Managing Partner,,,,
Livelihood Planning,Philadelphia,PA,Philadelphia,Financial Advisory Firm,6,$1M-$3M,Principal,Owner,,,,
Correct Capital,Philadelphia,PA,Philadelphia,Financial Advisory Firm,10,$1M-$5M,Principal,Owner,(877) 930-4015,,https://correctcap.com/
Sage Financial Group,Philadelphia,PA,Philadelphia,Financial Advisory Firm,15,$2M-$5M,Principal,Managing Partner,(484) 342-4400,,https://www.sagefinancial.com/
OC Pro Property Management,Orange County,CA,Orange County,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Orange County Property Management Inc,Orange County,CA,Orange County,Property Management Company,10,$500K-$2M,Owner,Owner,,,,
Good Life Property Management,Orange County,CA,Orange County,Property Management Company,10,$500K-$2M,Principal,Owner,,,,
Lido Property Management,Orange County,CA,Orange County,Property Management Company,12,$1M-$3M,Principal,Owner,,,,
Beach Front Property Management,Orange County,CA,Orange County,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Wise Property Management,Tampa,FL,Tampa,HOA Management Firm,15,$1M-$3M,Owner,Owner,(813) 968-5665,,https://wisepropertymanagement.com/
Terra Managers,Tampa,FL,Tampa,HOA Management Firm,10,$500K-$2M,Principal,Owner,,,,
Stonebriar Mortgage,Dallas,TX,Dallas,Mortgage Brokerage,10,$500K-$2M,Principal,Owner,(214) 669-3307,info@stonebriarmortgage.com,https://stonebriarmortgage.com/
MPS Mortgage LLC,Dallas,TX,Dallas,Mortgage Brokerage,6,$500K-$1.5M,Tom Spaniel,Founder,,,,
Home Loans For All,Dallas,TX,Dallas,Mortgage Brokerage,8,$500K-$2M,Principal,Owner,,,,
Calamita Wealth Management,Charlotte,NC,Charlotte,Wealth Management Firm,6,$1M-$3M,Todd Calamita,Founder,(704) 276-7325,todd@calamitawealth.com,https://www.calamitawealth.com/
Waverly Advisors Charlotte,Charlotte,NC,Charlotte,Wealth Management Firm,10,$1M-$5M,Principal,Managing Partner,,,,
Distribution Recruiters,Atlanta,GA,Atlanta,Recruiting Agency,8,$1M-$3M,Russ Baker,Founder,,,,
Connect Staffing Inc,Atlanta,GA,Atlanta,Staffing Agency,10,$1M-$5M,Principal,Owner,,,,
Paramount Staffing,Atlanta,GA,Atlanta,Staffing Agency,10,$1M-$3M,Principal,Owner,,,,
Express Employment Professionals Buckhead,Atlanta,GA,Atlanta,Staffing Agency,12,$1M-$5M,Principal,Owner,,,,
Jaron Hall Properties,Houston,TX,Houston,Real Estate Brokerage,6,$1M-$3M,Jaron Hall,Owner,,,,
Davis Commercial,Houston,TX,Houston,Real Estate Brokerage,10,$1M-$5M,Principal,Owner,,,,
The Reyna Group,Houston,TX,Houston,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
CB Realty Team,Houston,TX,Houston,Real Estate Brokerage,8,$1M-$3M,Principal,Owner,,,,
Sharp Staff Inc,Chicago,IL,Chicago,Staffing Agency,10,$1M-$3M,Owner,Owner,,,,
Chicago Hire Company,Chicago,IL,Chicago,Recruiting Agency,8,$1M-$3M,Principal,Owner,,,,
City Staffing,Chicago,IL,Chicago,Staffing Agency,10,$1M-$5M,Principal,Owner,,,,
Marco & Associates,Chicago,IL,Chicago,Recruiting Agency,8,$1M-$3M,Principal,Managing Partner,,,,
SGS Property Management,Alexandria,VA,Washington DC,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Nomadic Real Estate,Washington,DC,Washington DC,Property Management Company,15,$1M-$3M,Principal,Owner,(202) 223-9019,egillingham@nomadicrealestate.com,https://www.nomadicrealestate.com/
PMI D.C. Metro,Washington,DC,Washington DC,Property Management Company,8,$500K-$2M,Principal,Owner,,,,
Wilkinson Property Management,Northern Virginia,VA,Washington DC,Property Management Company,12,$1M-$3M,Principal,Owner,,,,
Peabody Residential,Northern Virginia,VA,Washington DC,Property Management Company,10,$1M-$3M,Principal,Managing Partner,(703) 436-6964,Info@PeabodyResidential.com,https://peabodyresidential.com/
