company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Old2New LLC,Columbus,OH,Columbus OH,Remodeling Contractors,8,$1M-$3M,N/A,Owner,N/A,N/A,https://www.old2newllc.com/
Nicholson Builders,Columbus,OH,Columbus OH,Remodeling Contractors,12,$2M-$5M,N/A,Owner,N/A,N/A,https://www.nicholsonbuilders.com/
Lutton Construction,Columbus,OH,Columbus OH,Remodeling Contractors,8,$1M-$3M,Kyle Lutton,Founder,N/A,N/A,https://luttonco.com/
Owens Construction,Worthington,OH,Columbus OH,General Contractors,15,$3M-$7M,William Owens,Founder,N/A,N/A,https://www.owensconstruction.com/
Elite Home Remodeling Inc,Columbus,OH,Columbus OH,Remodeling Contractors,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.kitchenremodelercolumbusoh.com/
Steller Construction,Columbus,OH,Columbus OH,Remodeling Contractors,8,$1M-$3M,N/A,Owner,N/A,N/A,https://www.steller-construction.com/
Assisting Hands Home Care Columbus,Columbus,OH,Columbus OH,Senior Care Services,15,$1M-$3M,Greg Kling,Owner,(614) 768-6185,N/A,https://assistinghandscolumbus.com/
Compassionate Caregivers,Columbus,OH,Columbus OH,Home Health Agency,12,$1M-$3M,Debbie DeLuca Ely,Founder,614-710-0078,N/A,https://compassionatecaregivershc.com/
Amada Senior Care Columbus,Columbus,OH,Columbus OH,Senior Care Services,10,$1M-$3M,John Tolentino,Franchise Owner,N/A,N/A,https://www.amadaseniorcare.com/columbus-senior-care/
Options Home Services,Columbus,OH,Columbus OH,Senior Care Services,15,$1M-$3M,N/A,Owner,614-947-8888,N/A,https://optionshomeservices.com/
FYVE Marketing,Columbus,OH,Columbus OH,Digital Marketing Agency,8,$500K-$1.5M,N/A,Owner,N/A,N/A,https://www.fyvemarketing.com/
The Media Captain,Columbus,OH,Columbus OH,Digital Marketing Agency,12,$1M-$3M,Jason Parks,Co-Founder,N/A,N/A,https://www.themediacaptain.com/
Emerald Creative Content,Columbus,OH,Columbus OH,Digital Marketing Agency,8,$500K-$1.5M,Amanda Kern,CEO,N/A,N/A,https://www.emeraldcontent.com/
VentraLocal Marketing Agency,Columbus,OH,Columbus OH,Digital Marketing Agency,6,$500K-$1.5M,N/A,Owner,N/A,N/A,https://www.ventralocal.com/
Upward Digital Marketing Group,Columbus,OH,Columbus OH,Digital Marketing Agency,8,$500K-$1.5M,Dave Williams,Owner,N/A,N/A,https://www.upwarddigitalmarketing.com/
Social Firm,Columbus,OH,Columbus OH,Digital Marketing Agency,10,$1M-$3M,N/A,Founder,N/A,N/A,https://socialfirm.com/
614 Chiropractic,Columbus,OH,Columbus OH,Chiropractic Clinic,6,$500K-$1.5M,Dr. Nicholas Esser,Owner/Chiropractor,N/A,N/A,https://www.614chiro.com/
Columbus Spine & Sport Center,Columbus,OH,Columbus OH,Chiropractic Clinic,8,$500K-$1.5M,Dr. Anna & Dr. Kyle,Owners,N/A,N/A,https://www.columbusspineandsport.com/
Medical Wellness Group,Columbus,OH,Columbus OH,Chiropractic Clinic,10,$1M-$3M,Dr. James Appell,Owner,(614) 898-0787,N/A,https://medicalwellnessgroup.org/
Reilly Chiropractic,Columbus,OH,Columbus OH,Chiropractic Clinic,8,$500K-$1.5M,Dr. Kevin Reilly,Owner,N/A,N/A,https://reillychiropractic.com/
Excel Trucking LLC,Columbus,OH,Columbus OH,Freight Brokerage,8,$1M-$3M,N/A,Owner,N/A,N/A,N/A
All City Cleaning Services,Columbus,OH,Columbus OH,Commercial Cleaning,12,$1M-$3M,N/A,Owner,(614) 863-4900,N/A,https://www.allcitycleaningservices.com/
CleanTurn,Columbus,OH,Columbus OH,Commercial Cleaning,10,$1M-$3M,N/A,Owner,N/A,N/A,https://cleanturn.com/
Green Clean Janitorial,Columbus,OH,Columbus OH,Commercial Cleaning,8,$500K-$1.5M,N/A,Owner,(877) 737-3030,N/A,https://greencleanjanitorial.com/
Eastside Dermatology,Columbus,OH,Columbus OH,Dermatology Clinic,10,$1M-$3M,N/A,Owner,N/A,N/A,https://www.eastsidedermatology.com/
Northeast Dermatology,Columbus,OH,Columbus OH,Dermatology Clinic,12,$1M-$3M,N/A,Owner,N/A,N/A,https://www.dermatologycolumbus.com/
Booher Remodeling Company,Indianapolis,IN,Indianapolis IN,Remodeling Contractors,12,$2M-$5M,N/A,Owner,(317) 852-5546,N/A,https://www.booherbuilding.com/
Modern Touch Contracting LLC,Indianapolis,IN,Indianapolis IN,Remodeling Contractors,8,$1M-$3M,N/A,Owner,(317) 855-9930,N/A,https://mtcindyllc.com/
Centennial Construction & Remodeling,Indianapolis,IN,Indianapolis IN,Remodeling Contractors,10,$1M-$3M,N/A,Owner,(317) 848-7634,N/A,https://www.centennialconstructionremodeling.com/
MJ Brown Renovations,Carmel,IN,Indianapolis IN,Remodeling Contractors,8,$1M-$3M,N/A,Owner,(317) 623-0444,N/A,https://www.mjbrownrenovations.com/
Canchola's Construction & Remodeling,Indianapolis,IN,Indianapolis IN,Remodeling Contractors,6,$500K-$1.5M,N/A,Owner,(317) 597-8577,N/A,https://www.cancholasremodeling.com/
Tendercare Home Health Services,Indianapolis,IN,Indianapolis IN,Home Health Agency,15,$1M-$3M,N/A,Owner,N/A,N/A,https://tchhs.net/
Allegiance Home Health,Indianapolis,IN,Indianapolis IN,Home Health Agency,12,$1M-$3M,N/A,Owner,N/A,N/A,https://www.allegiancehealth.net/
Hull Chiropractic,Indianapolis,IN,Indianapolis IN,Chiropractic Clinic,6,$500K-$1.5M,Dr. Jonathan Hull,Owner,(317) 243-2392,N/A,https://www.hullchiropractic.com
Chiropractic Rehabilitation and Acupuncture,Indianapolis,IN,Indianapolis IN,Chiropractic Clinic,8,$500K-$1.5M,Dr. Robert Ferguson,Owner,317-876-7826,N/A,https://www.chirorehab.net
Premier Sports Chiropractic,Indianapolis,IN,Indianapolis IN,Chiropractic Clinic,6,$500K-$1.5M,Dr. Stacey Conrad,Owner,317-841-2700,N/A,https://www.premiersportschiro.com
Back Pain Chiropractic Clinic,Indianapolis,IN,Indianapolis IN,Chiropractic Clinic,8,$500K-$1.5M,Dr. Jim Vuotto,Owner,(317) 898-6989,N/A,https://www.indybackpainchiro.com/
Meridian Chiropractic Clinic,Indianapolis,IN,Indianapolis IN,Chiropractic Clinic,6,$500K-$1.5M,Dr. Jeffry Yoder,Owner,(317) 923-4894,N/A,https://www.meridian-chiropractic.com/
Werner Financial,Indianapolis,IN,Indianapolis IN,Wealth Management,10,$1M-$3M,N/A,Principal,N/A,N/A,https://wernerfinancial.com/
Market Street Wealth Management,Indianapolis,IN,Indianapolis IN,Wealth Management,8,$1M-$3M,N/A,Principal,N/A,N/A,https://mswma.com
Delta Wealth Advisors,Indianapolis,IN,Indianapolis IN,Wealth Management,10,$1M-$3M,N/A,Principal,N/A,N/A,https://deltawealthadvisors.com/
StoneBridge Trucking,Indianapolis,IN,Indianapolis IN,Freight/Trucking,10,$1M-$3M,N/A,Owner,N/A,N/A,https://stonebridgetrucking.com/
Advanced Trucking,Indianapolis,IN,Indianapolis IN,Freight/Trucking,15,$2M-$5M,N/A,Owner,N/A,N/A,https://advancedtrucking.net/
The Project Factory,Indianapolis,IN,Indianapolis IN,Machine Shop/Metal Fabrication,8,$500K-$1.5M,N/A,Owner,N/A,N/A,https://www.indyprojectfactory.com/
Christie Machine Works,Indianapolis,IN,Indianapolis IN,Machine Shop/Metal Fabrication,12,$1M-$3M,N/A,Owner,N/A,N/A,https://www.christiemachineworks.com/
Tomlinson Manufacturing,Indianapolis,IN,Indianapolis IN,Machine Shop/Metal Fabrication,10,$1M-$3M,Tom Tomlinson,Founder,N/A,N/A,https://tomlinsonmfg.com/
