company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
EMRG Media,New York,NY,New York City,Event Planning,15,$2M-$5M,Owner,Owner,N/A,N/A,https://www.emrgmedia.com/
CoCo Events,New York,NY,New York City,Event Planning,12,$1M-$3M,Owner,Owner,N/A,N/A,https://cocoeventsnyc.com/
ShimmerNYC,New York,NY,New York City,Event Planning,8,$1M-$2M,Owner,Owner,N/A,N/A,https://www.shimmernyc.com/
NYFF Events,New York,NY,New York City,Event Planning,10,$1M-$3M,Owner,Owner,N/A,N/A,https://www.nyffevents.com/
Eventique,New York,NY,New York City,Event Production,15,$3M-$5M,Owner,Owner,N/A,N/A,https://www.eventique.com/
NYC Event Pro,New York,NY,New York City,Event Production,8,$1M-$2M,Owner,Owner,N/A,N/A,https://nyceventpro.com/
Ax3 Studios,New York,NY,New York City,Corporate Event Planning,10,$1M-$3M,Owner,Owner,N/A,N/A,https://www.ax3studios.com/
Statuesque Events,New York,NY,New York City,Corporate Event Planning,12,$2M-$4M,Owner,Owner,N/A,N/A,https://statuesqueevents.com/
Away,New York,NY,New York City,Ecommerce / DTC Brand,20,$10M+,Jen Rubio,Co-Founder,N/A,N/A,https://www.awaytravel.com/
Kith,New York,NY,New York City,Ecommerce / DTC Brand,20,$10M+,Ronnie Fieg,Founder & CEO,N/A,N/A,https://kith.com/
Roswell NYC,New York,NY,New York City,Ecommerce Agency / Shopify,10,$1M-$3M,Owner,Owner,N/A,N/A,https://roswell.nyc/
Luxe Fete,Miami,FL,Miami,Event Planning,10,$1M-$3M,Owner,Owner,N/A,N/A,https://luxefete.com/
Event More,Miami,FL,Miami,Event Planning,8,$1M-$2M,Severine Meimoun,Owner,N/A,N/A,https://eventmore.us/
The Event Factor,Miami,FL,Miami,Event Production,12,$2M-$4M,Owner,Owner,N/A,N/A,https://www.theeventfactor.com/
Opulence Entertainment Group,Coral Gables,FL,Miami,Event Production,10,$1M-$3M,Owner,Owner,N/A,N/A,https://www.opulencemia.com/
Events by Mala,Miami,FL,Miami,Corporate Event Planning,8,$1M-$2M,Mala,Owner,N/A,N/A,https://eventsbymala.com/
Plan Design Events,Miami,FL,Miami,Event Planning,10,$1M-$3M,Owner,Owner,N/A,N/A,https://www.plandesignevents.com/
Rivera Events,Miami,FL,Miami,Event Planning,12,$2M-$4M,Owner,Owner,N/A,N/A,https://riveraevents.com/
Chris Weinberg Events,Miami,FL,Miami,Wedding Planning,10,$1M-$3M,Chris Weinberg,Owner,N/A,N/A,https://chrisweinbergevents.com/
WEPAH,Miami,FL,Miami,Event Planning,8,$1M-$2M,Owner,Owner,N/A,N/A,https://wepah.com/
Sight Supply,Miami,FL,Miami,Ecommerce / DTC Brand,10,$1M-$3M,Owner,Founder,N/A,N/A,N/A
Lea Black Beauty,Miami,FL,Miami,Ecommerce / DTC Brand,8,$1M-$2M,Lea Black,Founder,N/A,N/A,N/A
Kraft Event Management,Northern NJ,NJ,Northern New Jersey,Corporate Event Planning,10,$1M-$3M,Jennifer Kraft,Owner,N/A,N/A,N/A
Allison Sargent Events,Montclair,NJ,Northern New Jersey,Event Planning,8,$1M-$2M,Allison Sargent,Owner,N/A,N/A,https://www.allisonsargent.com/
