company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Fuller's Car Wash,Hinsdale,IL,Chicago,Multi-Location Car Wash,15,$2M-$5M,Bob Fuller,Founder,N/A,N/A,https://fullerscarwash.com/
Buddy Bear Car Wash,Chicago,IL,Chicago,Multi-Location Car Wash,18,$2M-$5M,Phil DeGeratto,Founder,N/A,N/A,N/A
Soapy Jeff's Car Wash,Dallas,TX,Dallas,Multi-Location Car Wash,15,$1M-$3M,Owner,Owner,N/A,N/A,https://soapyjeffs.com/
BlueWave Express Car Wash,Houston,TX,Houston,Multi-Location Car Wash,20,$5M-$10M,Bill Poland,Owner,N/A,N/A,https://bluewaveexpress.com/
Foamworks Auto Spa,Atlanta,GA,Atlanta,Multi-Location Car Wash,15,$2M-$5M,Owner,Founder,N/A,N/A,N/A
Swifty Car Wash,Atlanta,GA,Atlanta,Multi-Location Car Wash,12,$1M-$3M,Owner,Owner,N/A,N/A,https://swiftycarwash.com/
Francis & Sons Car Wash,Phoenix,AZ,Phoenix,Multi-Location Car Wash,18,$3M-$5M,Owner,Owner,N/A,N/A,https://francisandsonscarwash.com/
Cobblestone Auto Spa,Phoenix,AZ,Phoenix,Multi-Location Car Wash,20,$5M-$10M,Owner,Owner,N/A,N/A,https://cobblestone.com/
Sunshine Car Wash,Tampa,FL,Tampa,Multi-Location Car Wash,12,$1M-$3M,Afram Seriani,Owner,N/A,N/A,N/A
Big Dan's Car Wash,Tampa,FL,Tampa,Multi-Location Car Wash,18,$3M-$5M,Shadday Family Office,Owner,N/A,N/A,https://www.bigdanscarwash.com/
Top Edge Car Wash,Tampa,FL,Tampa,Multi-Location Car Wash,10,$1M-$2M,Owner,Owner,N/A,N/A,https://www.topedgecarwashes.com/
Victory Car Wash,Tampa,FL,Tampa,Multi-Location Car Wash,10,$1M-$2M,Owner,Owner,N/A,N/A,https://victorycarwashfl.com/
Joe's Express Carwash,Orlando,FL,Orlando,Multi-Location Car Wash,15,$2M-$5M,Owner,Owner,N/A,N/A,https://joescarwashes.com/
The Car Wash Palace,Orlando,FL,Orlando,Multi-Location Car Wash,12,$1M-$3M,Owner,Owner,N/A,N/A,https://www.carwashpalace.com/
Fast 5 Xpress Car Wash,Newport Beach,CA,Orange County,Multi-Location Car Wash,18,$3M-$5M,Owner,Owner,N/A,N/A,N/A
Soapy Joe's Car Wash,San Diego,CA,San Diego,Multi-Location Car Wash,20,$5M-$10M,Owner,Owner,N/A,N/A,https://soapyjoescarwash.com/
San Diego Gas and Car Wash,San Diego,CA,San Diego,Multi-Location Car Wash,15,$2M-$5M,Lawrence Kourie,CEO,N/A,N/A,https://sandiegogasandcarwash.com/
Buggy Bath Car Wash,San Diego,CA,San Diego,Multi-Location Car Wash,15,$2M-$5M,Owner,Owner,N/A,N/A,https://buggybathcarwash.com/
Pony Express Car Wash,San Diego,CA,San Diego,Multi-Location Car Wash,12,$1M-$3M,Owner,Owner,N/A,N/A,https://www.ponyexpresswash.com/
San Diego Car Care,San Diego,CA,San Diego,Multi-Location Car Wash,15,$2M-$5M,Owner,Owner,N/A,N/A,https://sandiegocarcare.com/
Splash Car Wash,Greenwich,CT,New York City,Multi-Location Car Wash,20,$5M-$10M,Mark Curtis,Co-Owner,N/A,N/A,N/A
Urban Xpress Wash,Bronx,NY,New York City,Multi-Location Car Wash,12,$1M-$3M,Owner,Owner,N/A,N/A,https://urbanxpresswash.com/
Valet Auto Wash,Trenton,NJ,Northern New Jersey,Multi-Location Car Wash,15,$2M-$5M,Owner,Owner,N/A,N/A,N/A
Bubble Down Car Wash,Tampa,FL,Tampa,Multi-Location Car Wash,10,$1M-$2M,Owner,Owner,N/A,N/A,https://bubbledown.com/
Uptown Car Wash,San Diego,CA,San Diego,Multi-Location Car Wash,10,$1M-$2M,Owner,Owner,N/A,N/A,https://uptowncarwashsandiego.com/
The Academy Child Development,Nashville,TN,Nashville,Daycare/Preschool Chain,20,$2M-$5M,Owner,Owner,N/A,N/A,https://www.academychilddevelopment.com/
Blossom Academy,Nashville,TN,Nashville,Daycare/Preschool Chain,15,$1M-$3M,Owner,Owner,N/A,N/A,https://blossomacademytn.com/
Unique Kids Childcare,Nashville,TN,Nashville,Daycare/Preschool Chain,15,$1M-$2M,Dominique Gill,Owner,N/A,N/A,https://uniquekidscc.org/
Creative Play Preschool,Charlotte,NC,Charlotte,Daycare/Preschool Chain,15,$1M-$2M,Shanita,Owner,N/A,N/A,https://creativeplaycharlotte.com/
Lightbridge Academy Charlotte,Charlotte,NC,Charlotte,Daycare/Preschool Chain,20,$2M-$5M,Alison Friedman,Managing Owner,N/A,N/A,https://lightbridgeacademy.com/steele-creek-nc/
The Nest Schools,Matthews,NC,Charlotte,Daycare/Preschool Chain,18,$2M-$5M,Owner,Owner,N/A,N/A,https://thenestschool.com/locations/matthews/
Wu Yee Children's Services,San Francisco,CA,San Francisco Bay Area,Daycare/Preschool Chain,20,$3M-$5M,Owner,Executive Director,N/A,N/A,https://wuyee.org/
Cedars Preschool,Atlanta,GA,Atlanta,Daycare/Preschool Chain,20,$2M-$5M,Owner,Owner,N/A,N/A,N/A
Primrose School of Grant Park,Atlanta,GA,Atlanta,Daycare/Preschool Chain,18,$2M-$3M,Myehla Reneau,Franchise Owner,N/A,N/A,https://www.primroseschools.com/schools/grant-park
Primrose School of Buckhead,Atlanta,GA,Atlanta,Daycare/Preschool Chain,18,$2M-$3M,Irina Fofiu,Franchise Owner,N/A,N/A,https://www.primroseschools.com/schools/buckhead
Primrose School of Druid Hills,Atlanta,GA,Atlanta,Daycare/Preschool Chain,18,$2M-$3M,Laura Stechmesser,Franchise Owner,N/A,N/A,https://www.primroseschools.com/schools/druid-hills
Adventure Kids Playcare,Fort Worth,TX,Dallas,Daycare/Preschool Chain,15,$1M-$2M,Shelley,Owner,N/A,N/A,https://adventurekidsplaycare.com/
Primrose School of Fort Worth West,Fort Worth,TX,Dallas,Daycare/Preschool Chain,18,$2M-$3M,Glenn Hadsall,Franchise Owner,N/A,N/A,https://www.primroseschools.com/schools/fort-worth-west
