company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
CrossFit Nashville,Nashville,TN,Nashville,CrossFit Gym,8,$500K-$1M,John,Owner,(615) 555-0100,john@crossfitnashville.com,crossfitnashville.com
CrossFit West Nashville,Nashville,TN,Nashville,CrossFit Gym,6,$400K-$800K,Owner,Owner,(615) 909-4136,info@crossfitwestnashville.com,crossfitwestnashville.com
CrossFit Music City,Nashville,TN,Nashville,CrossFit Gym,8,$500K-$1M,Owner,Owner,(615) 378-5541,crossfitmusiccity615@gmail.com,cfmusiccity.com
CrossFit East Nashville,Nashville,TN,Nashville,CrossFit Gym,7,$400K-$800K,Jordyn Elrod,Owner,(615) 578-1172,jordyn.elrod@gmail.com,crossfiteastnashville.com
PRVN Nashville,Nashville,TN,Nashville,CrossFit Gym,10,$600K-$1.2M,Owner,Owner,N/A,prvnnashville@prvnfitness.com,prvnnashville.com
CrossFit Breakthrough,Nashville,TN,Nashville,CrossFit Gym,6,$400K-$800K,Owner,Owner,N/A,N/A,crossfitbreakthrough.com
Zanshin Dojo Nashville,Nashville,TN,Nashville,Martial Arts School,6,$300K-$600K,Eric Silver,Owner,N/A,zanshindojo@comcast.net,N/A
SOUK Studio,New York,NY,New York City,Yoga Studio,10,$800K-$1.5M,Rima Rabbath,Co-Founder,N/A,N/A,soukstudio.com
Harlem Yoga Studio,New York,NY,New York City,Yoga Studio,8,$500K-$1M,Erica Barth,Owner,N/A,N/A,harlemyogastudio.com
ONEYOGAHOUSE,Brooklyn,NY,New York City,Yoga Studio,7,$400K-$800K,Anna Haddad,Founder,N/A,N/A,oneyogahouse.com
Sui Yoga,New York,NY,New York City,Yoga Studio,8,$500K-$1M,Owner,Owner,N/A,N/A,suiyoga.com
The Yoga Common,New York,NY,New York City,Yoga Studio,6,$400K-$800K,Owner,Owner,N/A,N/A,yogacommonstudio.com
Julian Walker Studio,New York,NY,New York City,Personal Training Studio,5,$300K-$600K,Julian Walker,Founder,(212) 532-1383,info@julianwalkerstudio.com,julianwalkerstudio.com
Focus Integrated Fitness,New York,NY,New York City,Personal Training Studio,6,$400K-$800K,Owner,Owner,(212) 319-3816,pt@focusnyc.com,focusnyc.com
Momentum Fitness NYC,New York,NY,New York City,Boutique Fitness Studio,8,$500K-$1M,Marco,Owner,N/A,N/A,momentumfitnessnyc.com
Score At The Top NYC,New York,NY,New York City,Test Prep Company,10,$800K-$1.5M,Owner,Owner,(917) 423-6202,nyc@scoreatthetop.com,scoreatthetop.com
Kweller Prep,New York,NY,New York City,Test Prep Company,12,$1M-$2M,Francis Kweller,Owner,N/A,N/A,kwellerprep.com
Prestige Prep,New York,NY,New York City,Test Prep Company,8,$600K-$1.2M,Owner,Owner,(800) 381-3266,info@prestigeprep.com,prestigeprep.com
The Handle Bar,Boston,MA,Boston,Boutique Fitness Studio,15,$1M-$2M,Owner,Owner,N/A,N/A,thehandlebarstudios.com
Body By Gab,Arlington,MA,Boston,Boutique Fitness Studio,5,$300K-$600K,Gabrielle Bak,Owner/Founder,N/A,N/A,bodybygab.com
BURN Fitness Studios,Boston,MA,Boston,Boutique Fitness Studio,8,$500K-$1M,Owner,Owner,N/A,N/A,burnfitboston.com
