company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title,phone,email,website
Muletown Digital,Nashville,TN,Nashville,Digital Marketing Agency,8,$500K-$1M,Owner,Owner,N/A,N/A,muletowndigital.com
Tennessee Social,Nashville,TN,Nashville,Digital Marketing Agency,6,$500K-$1M,Owner,Owner,N/A,N/A,tnsocial.com
CFM Digital,Nashville,TN,Nashville,Digital Marketing Agency,10,$500K-$1.5M,Owner,Owner,N/A,N/A,cfmdigital.com
Flypaper Digital Marketing,Nashville,TN,Nashville,Digital Marketing Agency,8,$500K-$1M,Owner,Owner,N/A,N/A,customerswhostick.com
5by5 Agency,Nashville,TN,Nashville,Digital Marketing Agency,12,$1M-$2M,Owner,Owner,N/A,N/A,5by5agency.com
Mimvi SEO,New York,NY,New York City,SEO Agency,10,$1M-$2M,Marcus,Owner,N/A,N/A,mimvi.com
Primary Position,New York,NY,New York City,SEO Agency,8,$750K-$1.5M,David,Owner,N/A,N/A,primaryposition.com
SEO Agency NYC,New York,NY,New York City,SEO Agency,6,$500K-$1M,Owner,Owner,844-736-2436,N/A,seo.agency
The Stack Group,New York,NY,New York City,SEO Agency,10,$1M-$2M,Owner,Owner,857-256-1295,N/A,thestackgrp.com
Acme Web Agency,New York,NY,New York City,SEO Agency,7,$500K-$1M,Owner,Owner,N/A,N/A,acmewd.com
Spin350 Creative,Boston,MA,Boston,Branding Agency,6,$500K-$1M,Joe Lyons,Creative Director / Owner,N/A,N/A,spin350.com
Atomic Social,Boston,MA,Boston,Branding Agency,8,$500K-$1M,Owner,Owner,602-490-3252,success@atomicsocial.com,atomicsocial.com
Blackcoffee,Boston,MA,Boston,Branding Agency,7,$500K-$1M,Owner,Owner,N/A,N/A,N/A
Marquis Design,Boston,MA,Boston,Branding Agency,8,$500K-$1M,Owner,Owner,N/A,N/A,N/A
Holland-Mark,Boston,MA,Boston,Branding Agency,15,$1M-$3M,Owner,Owner,N/A,N/A,N/A
Critical IT Solutions,Washington,DC,Washington DC,IT Managed Service Provider,12,$1M-$3M,Owner,Owner,240-226-2818,N/A,criticalitsolutions.com
Strategic Technical Services,Washington,DC,Washington DC,IT Managed Service Provider,10,$1M-$2M,Matthew,Owner,800-315-9167,N/A,sts-dmv.com
ComTech Systems,Gaithersburg,MD,Washington DC,IT Managed Service Provider,15,$1.5M-$3M,Owner,Owner,301-670-1900,N/A,comtechsystemsinc.com
ETTE,Washington,DC,Washington DC,IT Managed Service Provider,8,$750K-$1.5M,Owner,Owner,N/A,N/A,ettebiz.com
Secure Networks ITC,San Diego,CA,San Diego,Cybersecurity Firm,10,$1M-$2M,Owner,Owner,N/A,N/A,securenetworksitc.com
619 IT,San Diego,CA,San Diego,Cybersecurity Firm,8,$750K-$1.5M,Owner,Owner,N/A,N/A,619it.com
San Diego Tech Support,San Diego,CA,San Diego,Cybersecurity Firm,6,$500K-$1M,Owner,Owner,619-478-0455,N/A,san-diegotechsupport.com
S & M Auto Paint & Body Shop,Charlotte,NC,Charlotte,Collision Repair Shop,8,$750K-$1.5M,Bobby Smith,Owner,N/A,N/A,smautobodync.com
Ginos Auto Repair,Charlotte,NC,Charlotte,Auto Repair Shop,6,$500K-$1M,Gino,Owner,N/A,N/A,ginosautorepair.com
ALMAR Auto Repair,Charlotte,NC,Charlotte,Auto Repair Shop,8,$500K-$1M,Owner,Owner,N/A,N/A,almarauto.com
CMD Automotive,Charlotte,NC,Charlotte,Auto Repair Shop,7,$500K-$1M,Kevin,Co-Owner,N/A,N/A,cmdautorepair.com
TTS Auto Repair,Charlotte,NC,Charlotte,Auto Repair Shop,10,$750K-$1.5M,Owner,Owner,N/A,N/A,ttsautoserviceinc.com
Krucial Kolors,Tampa,FL,Tampa,Collision Repair Shop,6,$500K-$1M,Owner,Owner,813-444-9141,N/A,krucialkolors.com
Pauls Auto & Collision,Tampa,FL,Tampa,Collision Repair Shop,8,$750K-$1.5M,Owner,Owner,813-223-6725,N/A,autorepairtampabay.com
Dixie Paint & Body Shop,Tampa,FL,Tampa,Collision Repair Shop,10,$750K-$1.5M,Angelo Traina Jr.,Owner,813-212-0744,N/A,autobodytampa.com
