company_name,city,state,metro_area,industry,estimated_employees,estimated_revenue_range,owner_or_contact,contact_title
Health Care of South Florida,Miami,FL,Miami,Home Health Agency,15,$1M-$3M,Owner,Owner
Advantis Home Care,Miami,FL,Miami,Home Health Agency,10,$500K-$2M,Owner,Owner
Avanti Home Health Services,Miami,FL,Miami,Home Health Agency,12,$1M-$3M,Owner,Owner
Elite Care At Home,Miami,FL,Miami,Home Health Agency,10,$500K-$2M,Owner,Owner
Lesly Home Health Care,Miami,FL,Miami,Home Health Agency,8,$500K-$1.5M,Owner,Owner
Comforts of Home,Miami,FL,Miami,Senior Home Care,10,$500K-$2M,Owner,Owner
Home Care Providers of Texas,Dallas,TX,Dallas,Home Health Agency,15,$1M-$3M,Owner,Owner
Advant Home Health Services,Dallas,TX,Dallas,Home Health Agency,12,$1M-$3M,Owner,Owner
Newport Home Health,Dallas,TX,Dallas,Home Health Agency,10,$500K-$2M,Owner,Owner
Direct Home Health Services,Dallas,TX,Dallas,Home Health Agency,8,$500K-$2M,Owner,Owner
Angel Home Healthcare Services,Dallas,TX,Dallas,Home Health Agency,12,$1M-$3M,Owner,Owner
DFW Home Health of Dallas,Dallas,TX,Dallas,Home Health Agency,15,$1M-$3M,Owner,General Manager
A One Home Care Inc,Atlanta,GA,Atlanta,Home Health Agency,12,$1M-$3M,Owner,Owner
Affordable Medical Resources,Atlanta,GA,Atlanta,Home Health Agency,10,$500K-$2M,Owner,Owner
Trinity Life at Home,Atlanta,GA,Atlanta,Home Health Agency,15,$1M-$3M,Owner,Owner
Full Heart Home Care LLC,Atlanta,GA,Atlanta,Senior Home Care,8,$500K-$1.5M,Owner,Owner
Home Care Powered by AUAF,Chicago,IL,Chicago,Senior Home Care,18,$1M-$3M,Owner,Owner
ASI Home Care Services,Chicago,IL,Chicago,Senior Home Care,15,$1M-$3M,Owner,Owner
Amada Senior Care Chicago,Chicago,IL,Chicago,Senior Home Care,10,$500K-$2M,Jennifer Busch,Owner
Bowes In Home Care,Chicago,IL,Chicago,Senior Home Care,8,$500K-$1.5M,Owner,Owner
Custom Home Care Chicago,Chicago,IL,Chicago,Senior Home Care,8,$500K-$1.5M,Owner,Owner
Primetime Home Health Services,Houston,TX,Houston,Home Health Agency,15,$1M-$3M,Owner,Owner
Homewatch CareGivers Houston Galleria,Houston,TX,Houston,Home Health Agency,12,$1M-$3M,Owner,Owner
Aleris Home Health,Houston,TX,Houston,Home Health Agency,10,$500K-$2M,Owner,Owner
Harbor Home Care,Houston,TX,Houston,Home Health Agency,10,$500K-$2M,Owner,Owner
CASA Healthcare,Houston,TX,Houston,Home Health Agency,12,$1M-$3M,Owner,Owner
Arizona Home Care,Phoenix,AZ,Phoenix,Home Health Agency,18,$1M-$3M,Owner,Owner
Arizona's Choice Home Health Agency,Phoenix,AZ,Phoenix,Home Health Agency,12,$1M-$3M,Owner,Owner
Nightingale Homecare,Phoenix,AZ,Phoenix,Home Health Agency,15,$1M-$3M,Owner,Owner
Prestige Home Health Care,Phoenix,AZ,Phoenix,Home Health Agency,10,$500K-$2M,Owner,Owner
Integrity Home Health Phoenix,Phoenix,AZ,Phoenix,Home Health Agency,8,$500K-$2M,Owner,Owner
PHC Home Health,Charlotte,NC,Charlotte,Home Health Agency,12,$1M-$3M,Owner,Owner
EULA Home Care Agency,Charlotte,NC,Charlotte,Home Health Agency,10,$500K-$2M,Owner,Owner
Carepoint Home Care,Charlotte,NC,Charlotte,Home Health Agency,8,$500K-$1.5M,Owner,Owner
Healthy Services of Tampa,Tampa,FL,Tampa,Home Health Agency,10,$500K-$2M,Owner,Owner
Inspire Home Healthcare,Tampa,FL,Tampa,Home Health Agency,8,$500K-$2M,Owner,Owner
Serene Home Care,Tampa,FL,Tampa,Home Health Agency,8,$500K-$1.5M,Owner,Owner
Bayshore Home Care,Tampa,FL,Tampa,Senior Home Care,12,$500K-$2M,Owner,Owner
Wisemor Healthcare,Tampa,FL,Tampa,Home Health Agency,10,$500K-$2M,Owner,Owner
Amada Senior Care Orlando,Orlando,FL,Orlando,Senior Home Care,10,$500K-$2M,Dell Gray,Owner
Preferred Care at Home Northeast Orlando,Orlando,FL,Orlando,Senior Home Care,8,$500K-$1.5M,Owner,Owner
Senior Helpers Orlando,Orlando,FL,Orlando,Senior Home Care,12,$500K-$2M,Dale Gardner,Owner
ABC Home Healthcare Professionals,Boston,MA,Boston,Home Health Agency,15,$1M-$3M,Owner,Owner
Traditions Home Health Services,Boston,MA,Boston,Home Health Agency,10,$500K-$2M,Owner,Owner
Diverse Tender Care LLC,Boston,MA,Boston,Home Health Agency,8,$500K-$1.5M,Owner,Owner
ABP Best Home Care Agency,Boston,MA,Boston,Home Health Agency,10,$500K-$2M,Owner,Owner
MEIGER Health,Washington,DC,Washington DC,Home Health Agency,10,$500K-$2M,Owner,Owner
